t,px,py,pz,qx,qy,qz,qw,vx,vy,vz,ux,uy,uz,joint1,joint2,joint3,joint4,gripper
0.000000000000000000e+00,2.200000000000000011e-01,-2.000000000000000042e-02,1.300000000000000044e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,8.333260225260041842e-03,3.490648296175513643e-05,6.069320132332522988e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,2.200833326022526015e-01,-1.999965093517038286e-02,1.306069320132332567e-01,6.853421836162671820e-05,6.854361352769065808e-05,6.853421836162671820e-05,9.999999929539474808e-01,8.333040902321064980e-03,6.981235345648872936e-05,6.069317261381823592e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,2.201666608180464224e-01,-1.999860375293087064e-02,1.312138634522763692e-01,1.370590205184595207e-04,1.370966011719709993e-04,1.370590205184595207e-04,9.999999718170854424e-01,8.332382939917060138e-03,1.396222570610242131e-04,6.069308648532639738e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,2.202499802610509427e-01,-1.999685849002916238e-02,1.318207937429397847e-01,2.055743854425240696e-04,2.056589418726337617e-04,2.055743854425240696e-04,9.999999365913697646e-01,8.331286357292355671e-03,2.094272610265318635e-04,6.069294293794547102e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,2.203332865451922695e-01,-1.999441520771034000e-02,1.324277223110352786e-01,2.740802921166134013e-04,2.742306145587506045e-04,2.740802921166134013e-04,9.999998872787722037e-01,8.329751186511580308e-03,2.792249156946535749e-04,6.069274197183366359e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,2.204165752847811743e-01,-1.999127399171526931e-02,1.330346485823764580e-01,3.425767195342985520e-04,3.428115981486827058e-04,3.425767195342984978e-04,9.999998238812797258e-01,8.327777472469377607e-03,3.490127716004529090e-04,6.069248358721024417e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-02,2.204998420946416571e-01,-1.998743495227833095e-02,1.336415719827794835e-01,4.110636466999410799e-04,4.114018715500932584e-04,4.110636466999410257e-04,9.999997464008962833e-01,8.325365272884854839e-03,4.187883795367733364e-04,6.069216778435831960e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-02,2.205830825902388714e-01,-1.998289822412453384e-02,1.342484919380636244e-01,4.795410526287032568e-04,4.800014136599581489e-04,4.795410526287032568e-04,9.999996548396408169e-01,8.322514658298807433e-03,4.885492906189434215e-04,6.069179456362483460e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-02,2.206662923878076332e-01,-1.997766396646595208e-02,1.348554078740519802e-01,5.480089163465600485e-04,5.486102033645777216e-04,5.480089163465600485e-04,9.999995491995485875e-01,8.319225712079270085e-03,5.582930563491350640e-04,6.069136392541918390e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.999999999999999667e-02,2.207494671044804568e-01,-1.997173236299755114e-02,1.354623192165720080e-01,6.164672168903106075e-04,6.172282195395884874e-04,6.164672168903106075e-04,9.999994294826701768e-01,8.315498530403475641e-03,6.280172286808952120e-04,6.069087587021321228e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
