t,px,py,pz,qx,qy,qz,qw,vx,vy,vz,ux,uy,uz,joint1,joint2,joint3,gripper
0.000000,0.000000,0.000000,1.100000,0.000000,0.000000,0.000000,1.000000,-0.000001,0.000002,0.000005,-0.000675,0.001321,0.002884,0.000000,0.000000,2.000000,0.000000
0.010000,-0.000000,0.000000,1.100000,0.000000,0.000000,0.000000,1.000000,-0.000008,0.000015,0.000034,-0.001335,0.002610,0.005713,0.000000,0.000000,2.000000,0.000000
0.020000,-0.000000,0.000000,1.100000,0.000000,0.000000,0.000000,1.000000,-0.000021,0.000042,0.000091,-0.001980,0.003864,0.008482,0.000000,0.000000,2.000000,0.000000
0.030000,-0.000000,0.000001,1.100001,0.000000,0.000000,0.000000,1.000000,-0.000041,0.000080,0.000176,-0.002610,0.005083,0.011192,0.000000,0.000000,2.000000,0.000000
0.040000,-0.000001,0.000001,1.100003,0.000000,0.000000,0.000000,1.000000,-0.000067,0.000131,0.000288,-0.003224,0.006267,0.013844,0.000000,0.000000,2.000000,0.000000
0.050000,-0.000001,0.000003,1.100006,0.000000,0.000000,0.000000,1.000000,-0.000099,0.000194,0.000426,-0.003823,0.007416,0.016437,0.000000,0.000000,2.000000,0.000000
0.060000,-0.000002,0.000005,1.100010,0.000000,0.000000,0.000000,1.000000,-0.000138,0.000268,0.000590,-0.004407,0.008532,0.018972,0.000000,0.000000,2.000000,0.000000
0.070000,-0.000004,0.000007,1.100016,0.000000,0.000000,0.000000,1.000000,-0.000182,0.000353,0.000780,-0.004977,0.009614,0.021450,0.000000,0.000000,2.000000,0.000000
0.080000,-0.000006,0.000011,1.100024,0.000000,0.000000,0.000000,1.000000,-0.000231,0.000449,0.000995,-0.005531,0.010662,0.023871,0.000000,0.000000,2.000000,0.000000
0.090000,-0.000008,0.000015,1.100034,0.000000,0.000000,0.000000,1.000000,-0.000287,0.000556,0.001233,-0.006071,0.011677,0.026235,0.000000,0.000000,2.000000,0.000000
0.100000,-0.000011,0.000021,1.100046,0.000000,0.000000,0.000000,1.000000,-0.000347,0.000673,0.001496,-0.006597,0.012659,0.028543,0.000000,0.000000,2.000000,0.000000
0.110000,-0.000014,0.000028,1.100061,0.000000,0.000000,0.000000,1.000000,-0.000413,0.000799,0.001781,-0.007108,0.013608,0.030795,0.000000,0.000000,2.000000,0.000000
