t,px,py,pz,qx,qy,qz,qw,vx,vy,vz,ux,uy,uz,joint1,joint2,joint3,joint4,gripper
0.000000,0.350000,0.000000,0.300000,0.000000,0.000000,0.000000,1.000000,-0.000000,0.031416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,0.349999,0.000314,0.300000,0.000000,0.000000,0.000000,1.000000,-0.000197,0.031415,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,0.349996,0.000628,0.300000,0.000000,0.000000,0.000000,1.000000,-0.000395,0.031413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.030000,0.349991,0.000942,0.300000,0.000000,0.000000,0.000000,1.000000,-0.000592,0.031410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.040000,0.349984,0.001257,0.300000,0.000000,0.000000,0.000000,1.000000,-0.000789,0.031406,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,0.349975,0.001571,0.300000,0.000000,0.000000,0.000000,1.000000,-0.000987,0.031400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.060000,0.349964,0.001885,0.300000,0.000000,0.000000,0.000000,1.000000,-0.001184,0.031394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.070000,0.349952,0.002198,0.300000,0.000000,0.000000,0.000000,1.000000,-0.001381,0.031386,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.080000,0.349937,0.002512,0.300000,0.000000,0.000000,0.000000,1.000000,-0.001578,0.031376,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.090000,0.349920,0.002826,0.300000,0.000000,0.000000,0.000000,1.000000,-0.001776,0.031366,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,0.349901,0.003140,0.300000,0.000000,0.000000,0.000000,1.000000,-0.001973,0.031354,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.110000,0.349881,0.003453,0.300000,0.000000,0.000000,0.000000,1.000000,-0.002170,0.031341,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.120000,0.349858,0.003766,0.300000,0.000000,0.000000,0.000000,1.000000,-0.002366,0.031327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.130000,0.349833,0.004080,0.300000,0.000000,0.000000,0.000000,1.000000,-0.002563,0.031311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.140000,0.349807,0.004393,0.300000,0.000000,0.000000,0.000000,1.000000,-0.002760,0.031294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.150000,0.349778,0.004705,0.300000,0.000000,0.000000,0.000000,1.000000,-0.002956,0.031277,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.160000,0.349748,0.005018,0.300000,0.000000,0.000000,0.000000,1.000000,-0.003153,0.031257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.170000,0.349715,0.005331,0.300000,0.000000,0.000000,0.000000,1.000000,-0.003349,0.031237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.180000,0.349681,0.005643,0.300000,0.000000,0.000000,0.000000,1.000000,-0.003545,0.031215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.190000,0.349644,0.005955,0.300000,0.000000,0.000000,0.000000,1.000000,-0.003742,0.031192,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.349606,0.006267,0.300000,0.000000,0.000000,0.000000,1.000000,-0.003937,0.031168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.210000,0.349565,0.006578,0.300000,0.000000,0.000000,0.000000,1.000000,-0.004133,0.031143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.220000,0.349523,0.006890,0.300000,0.000000,0.000000,0.000000,1.000000,-0.004329,0.031116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.230000,0.349479,0.007201,0.300000,0.000000,0.000000,0.000000,1.000000,-0.004524,0.031088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.240000,0.349433,0.007511,0.300000,0.000000,0.000000,0.000000,1.000000,-0.004719,0.031059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,0.349384,0.007822,0.300000,0.000000,0.000000,0.000000,1.000000,-0.004915,0.031029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.260000,0.349334,0.008132,0.300000,0.000000,0.000000,0.000000,1.000000,-0.005109,0.030998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.270000,0.349282,0.008442,0.300000,0.000000,0.000000,0.000000,1.000000,-0.005304,0.030965,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.280000,0.349228,0.008751,0.300000,0.000000,0.000000,0.000000,1.000000,-0.005499,0.030931,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.290000,0.349172,0.009060,0.300000,0.000000,0.000000,0.000000,1.000000,-0.005693,0.030896,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.300000,0.349114,0.009369,0.300000,0.000000,0.000000,0.000000,1.000000,-0.005887,0.030859,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
