t,px,py,pz,qx,qy,qz,qw,vx,vy,vz,ux,uy,uz,joint1,joint2,joint3,joint4,gripper
0.000000,0.350000,0.000000,0.300000,0.000000,0.000000,0.000000,1.000000,-0.000000,0.020944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,0.350000,0.000209,0.300000,0.000000,0.000000,0.000000,1.000000,-0.000088,0.020943,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,0.349998,0.000419,0.300000,0.000000,0.000000,0.000000,1.000000,-0.000175,0.020941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.030000,0.349996,0.000628,0.300000,0.000000,0.000000,0.000000,1.000000,-0.000263,0.020937,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.040000,0.349993,0.000838,0.300000,0.000000,0.000000,0.000000,1.000000,-0.000351,0.020932,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,0.349989,0.001047,0.300000,0.000000,0.000000,0.000000,1.000000,-0.000439,0.020926,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.060000,0.349984,0.001256,0.300000,0.000000,0.000000,0.000000,1.000000,-0.000526,0.020917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.070000,0.349979,0.001465,0.300000,0.000000,0.000000,0.000000,1.000000,-0.000614,0.020908,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.080000,0.349972,0.001674,0.300000,0.000000,0.000000,0.000000,1.000000,-0.000702,0.020897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.090000,0.349964,0.001883,0.300000,0.000000,0.000000,0.000000,1.000000,-0.000789,0.020884,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,0.349956,0.002092,0.300000,0.000000,0.000000,0.000000,1.000000,-0.000877,0.020870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.110000,0.349947,0.002301,0.300000,0.000000,0.000000,0.000000,1.000000,-0.000965,0.020855,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.120000,0.349937,0.002509,0.300000,0.000000,0.000000,0.000000,1.000000,-0.001052,0.020838,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.130000,0.349926,0.002717,0.300000,0.000000,0.000000,0.000000,1.000000,-0.001140,0.020820,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.140000,0.349914,0.002925,0.300000,0.000000,0.000000,0.000000,1.000000,-0.001228,0.020800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.150000,0.349901,0.003133,0.300000,0.000000,0.000000,0.000000,1.000000,-0.001315,0.020779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.160000,0.349888,0.003341,0.300000,0.000000,0.000000,0.000000,1.000000,-0.001403,0.020756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.170000,0.349873,0.003548,0.300000,0.000000,0.000000,0.000000,1.000000,-0.001490,0.020732,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.180000,0.349858,0.003756,0.300000,0.000000,0.000000,0.000000,1.000000,-0.001578,0.020706,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.190000,0.349842,0.003963,0.300000,0.000000,0.000000,0.000000,1.000000,-0.001665,0.020679,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.349825,0.004169,0.300000,0.000000,0.000000,0.000000,1.000000,-0.001753,0.020651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.210000,0.349807,0.004376,0.300000,0.000000,0.000000,0.000000,1.000000,-0.001840,0.020621,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.220000,0.349788,0.004582,0.300000,0.000000,0.000000,0.000000,1.000000,-0.001927,0.020589,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.230000,0.349768,0.004787,0.300000,0.000000,0.000000,0.000000,1.000000,-0.002015,0.020556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.240000,0.349748,0.004993,0.300000,0.000000,0.000000,0.000000,1.000000,-0.002102,0.020522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,0.349726,0.005198,0.300000,0.000000,0.000000,0.000000,1.000000,-0.002189,0.020486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.260000,0.349704,0.005402,0.300000,0.000000,0.000000,0.000000,1.000000,-0.002276,0.020449,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
