t,px,py,pz,qx,qy,qz,qw,vx,vy,vz,ux,uy,uz,joint1,joint2,joint3,joint4,gripper
0.000000000000000000e+00,2.200000000000000011e-01,-2.000000000000000042e-02,1.300000000000000044e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,8.333325371853717023e-03,1.151916939473585089e-05,6.069320132332522988e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,2.200833332537185383e-01,-1.999988480830605306e-02,1.306069320132332567e-01,6.853421836162671820e-05,6.854361352769065808e-05,6.853421836162671820e-05,9.999999929539474808e-01,8.333301487430111454e-03,2.303831677930023858e-05,6.069317261381823592e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,2.201666660297486033e-01,-1.999953923366441441e-02,1.312138634522763692e-01,1.370590205184595207e-04,1.370966011719709993e-04,1.370590205184595207e-04,9.999999718170854424e-01,8.333229834235622580e-03,4.607654551739420734e-05,6.069308648532639738e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,2.202499978504032507e-01,-1.999896327739570517e-02,1.318207937429397847e-01,2.055743854425240696e-04,2.056589418726337617e-04,2.055743854425240696e-04,9.999999365913697646e-01,8.333110412497846120e-03,6.911459817324910881e-05,6.069294293794547102e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,2.203333282379985603e-01,-1.999815694170094943e-02,1.324277223110352786e-01,2.740802921166134013e-04,2.742306145587506045e-04,2.740802921166134013e-04,9.999998872787722037e-01,8.332943222597033461e-03,9.215238670652603492e-05,6.069274197183366359e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,2.204166567148551914e-01,-1.999712022966157465e-02,1.330346485823764580e-01,3.425767195342985520e-04,3.428115981486827058e-04,3.425767195342984978e-04,9.999998238812797258e-01,8.332728265066091655e-03,1.151898230777534393e-04,6.069248358721024417e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-02,2.204999828032998821e-01,-1.999585314523939436e-02,1.336415719827794835e-01,4.110636466999410799e-04,4.114018715500932584e-04,4.110636466999410257e-04,9.999997464008962833e-01,8.332465540589195641e-03,1.382268192481536651e-04,6.069216778435831960e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-02,2.205833060256669753e-01,-1.999435569327661158e-02,1.342484919380636244e-01,4.795410526287032568e-04,4.800014136599581489e-04,4.795410526287032568e-04,9.999996548396408169e-01,8.332155050003176022e-03,1.612632871801633616e-04,6.069179456362483460e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-02,2.206666259042999456e-01,-1.999262787949579109e-02,1.348554078740519802e-01,5.480089163465600485e-04,5.486102033645777216e-04,5.480089163465600485e-04,9.999995491995485875e-01,8.331796794297519071e-03,1.842991388381273743e-04,6.069136392541918390e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.999999999999999667e-02,2.207499419615529257e-01,-1.999066971049984903e-02,1.354623192165720080e-01,6.164672168903106075e-04,6.172282195395884874e-04,6.164672168903106075e-04,9.999994294826701768e-01,8.331390774612978944e-03,2.073342861876048548e-04,6.069087587021321228e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.208332537197922052e-01,-1.998848119377203900e-02,1.360692253914562444e-01,6.849159333075887897e-04,6.858554410499739665e-04,6.849159333075888981e-04,9.999992956910731534e-01,8.330936992240189909e-03,2.303686411967570402e-04,6.069033039854121458e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000006e-01,2.209165607013977295e-01,-1.998606233767591389e-02,1.366761258245428323e-01,7.533550446568760021e-04,7.544918467500782945e-04,7.533550446568760021e-04,9.999991478268401845e-01,8.330435448627993011e-03,2.534021158360003079e-04,6.068972751100271124e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.199999999999999956e-01,2.209998624287647651e-01,-1.998341315145531899e-02,1.372830199416762986e-01,8.217845300075100933e-04,8.231374154836138121e-04,8.217845300075100933e-04,9.999989858920694807e-01,8.329886145372333850e-03,2.764346220774857588e-04,6.068906720826106049e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000044e-01,2.210831584243051762e-01,-1.998053364523436418e-02,1.378899071687080535e-01,8.902043684396993397e-04,8.917921260836772198e-04,8.902043684396993397e-04,9.999988098888760168e-01,8.329289084219038131e-03,2.994660718968339408e-04,6.068834949103513177e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000133e-01,2.211664482104491458e-01,-1.997742383001738231e-02,1.384967869314970013e-01,9.586145390445313360e-04,9.604559573727576008e-04,9.586145390445313360e-04,9.999986198193899778e-01,8.328644267074913898e-03,3.224963772729613765e-04,6.068757436011457118e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-01,2.212497313096466744e-01,-1.997408371768890495e-02,1.391036586559103450e-01,1.027015020923986114e-03,1.029128888162750190e-03,1.027015020923986114e-03,9.999984156857575357e-01,8.327951695991098191e-03,3.455254501870397288e-04,6.068674181635147491e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000033e-01,2.213330072443689678e-01,-1.997051332101364152e-02,1.397105217678240308e-01,1.095405793190945684e-03,1.097810897254966568e-03,1.095405793190945684e-03,9.999981974901406279e-01,8.327211373171383713e-03,3.685532026247509418e-04,6.068585186065483805e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000122e-01,2.214162755371101021e-01,-1.996671265363640993e-02,1.403173756931234417e-01,1.163786834969207477e-03,1.166501963440147449e-03,1.163786834969207477e-03,9.999979652347172898e-01,8.326423300976382169e-03,3.915795465752464066e-04,6.068490449400304465e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.799999999999999933e-01,2.214995357103884954e-01,-1.996268173008213659e-02,1.409242198577040917e-01,1.232158125393492589e-03,1.235202065498472879e-03,1.232158125393492589e-03,9.999977189216812112e-01,8.325587481915197596e-03,4.146043940311469611e-04,6.068389971743554101e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000022e-01,2.215827872867484061e-01,-1.995842056575578699e-02,1.415310536874721525e-01,1.300519643609460195e-03,1.303911182199576435e-03,1.300519643609460195e-03,9.999974585532417359e-01,8.324703918648201917e-03,4.376276569904510860e-04,6.068283753205283571e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.216660297887614595e-01,-1.995392917694232757e-02,1.421378766083451484e-01,1.368871368773715361e-03,1.372629292302553032e-03,1.368871368773715361e-03,9.999971841316241949e-01,8.323772613989810498e-03,4.606492474551471261e-04,6.068171793902066291e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.099999999999999922e-01,2.217492627390282023e-01,-1.994920758080668405e-02,1.427446880462525658e-01,1.437213280053824000e-03,1.441356374555974752e-03,1.437213280053824217e-03,9.999968956590697955e-01,8.322793570908482153e-03,4.836690774315602348e-04,6.068054093956581907e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000011e-01,2.218324856601796291e-01,-1.994425579539369636e-02,1.433514874271364647e-01,1.505545356628320685e-03,1.510092407697899951e-03,1.505545356628320685e-03,9.999965931378359540e-01,8.321766792518392464e-03,5.066870589315666806e-04,6.067930653497893845e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000100e-01,2.219156980748785701e-01,-1.993907383962805271e-02,1.439582741769521446e-01,1.573867577686720570e-03,1.578837370455883453e-03,1.573867577686720786e-03,9.999962765701948531e-01,8.320692282089148240e-03,5.297031039724203749e-04,6.067801472661449314e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.399999999999999911e-01,2.219988995058214121e-01,-1.993366173331424795e-02,1.445650477216687546e-01,1.642179922429532835e-03,1.647591241546994328e-03,1.642179922429532835e-03,9.999959459584353283e-01,8.319570043048563068e-03,5.527171245767528718e-04,6.067666551588801749e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
