t,px,py,pz,qx,qy,qz,qw,vx,vy,vz,ux,uy,uz,joint1,joint2,joint3,joint4,gripper
0.000000000000000000e+00,2.200000000000000011e-01,-2.000000000000000042e-02,1.300000000000000044e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.374996423604835094e-02,3.136092147429381249e-05,1.001437549848160913e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,2.201374996423604846e-01,-1.999968639078525748e-02,1.310014375498481654e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.374985694437835804e-02,6.272167980825305023e-05,1.001436260181787219e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,2.202749971388875683e-01,-1.999874556640383536e-02,1.320028725203635789e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.374953507030096667e-02,1.254427070562086355e-04,1.001432391186565796e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,2.204124903437665040e-01,-1.999717753664413331e-02,1.330043023322212969e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.374899861660561218e-02,1.881624291880795719e-04,1.001425942874029085e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,2.205499771112196805e-01,-1.999498231782007376e-02,1.340057244061116370e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.374824758794274127e-02,2.508801936590074333e-04,1.001416915263425578e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,2.206874552955253588e-01,-1.999215993277095316e-02,1.350071361627481481e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.374728199082381197e-02,3.135953479390524157e-04,1.001405308381719816e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-02,2.208249227510361568e-01,-1.998871041086129272e-02,1.360085350228750767e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.374610183362268145e-02,3.763072395185709795e-04,1.001391122263550759e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-02,2.209623773321978124e-01,-1.998463378798058174e-02,1.370099184072752496e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.374470712657144267e-02,4.390152159137669652e-04,1.001374356951273414e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-02,2.210998168935675856e-01,-1.997993010654301738e-02,1.380112837367776235e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.374309788175764879e-02,5.017186246705079844e-04,1.001355012494944963e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.999999999999999667e-02,2.212372392898329654e-01,-1.997459941548717158e-02,1.390126284322651395e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.374127411313957881e-02,5.644168133714377866e-04,1.001333088952338635e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
